index,runs,opponent,ground,date,match,Match_No,total,Year,ODI,T20,TEST,Centuries,Fifties
247,14,Bangladesh,Fatullah,10-Jun-15,Test,236,10070,2015,0,0,1,0,0
248,1,Bangladesh,Mirpur,18-Jun-15,ODI,237,10071,2015,1,0,0,0,0
249,23,Bangladesh,Mirpur,21-Jun-15,ODI,238,10094,2015,1,0,0,0,0
250,25,Bangladesh,Mirpur,24-Jun-15,ODI,239,10119,2015,1,0,0,0,0
251,103,SriLanka,Galle,12-Aug-15,Test,240,10222,2015,0,0,1,1,0
252,3,SriLanka,Galle,12-Aug-15,Test,241,10225,2015,0,0,1,0,0
253,78,SriLanka,Colombo(PSS),20-Aug-15,Test,242,10303,2015,0,0,1,0,1
254,10,SriLanka,Colombo(PSS),20-Aug-15,Test,243,10313,2015,0,0,1,0,0
255,18,SriLanka,Colombo(SSC),28-Aug-15,Test,244,10331,2015,0,0,1,0,0
256,21,SriLanka,Colombo(SSC),28-Aug-15,Test,245,10352,2015,0,0,1,0,0
257,43,SouthAfrica,Dharamsala,02-Oct-15,T20,246,10395,2015,0,1,0,0,0
258,1,SouthAfrica,Cuttack,05-Oct-15,T20,247,10396,2015,0,1,0,0,0
259,11,SouthAfrica,Kanpur,11-Oct-15,ODI,248,10407,2015,1,0,0,0,0
260,12,SouthAfrica,Indore,14-Oct-15,ODI,249,10419,2015,1,0,0,0,0
261,77,SouthAfrica,Rajkot,18-Oct-15,ODI,250,10496,2015,1,0,0,0,1
262,138,SouthAfrica,Chennai,22-Oct-15,ODI,251,10634,2015,1,0,0,1,0
263,7,SouthAfrica,Wankhede,25-Oct-15,ODI,252,10641,2015,1,0,0,0,0
264,1,SouthAfrica,Mohali,05-Nov-15,Test,253,10642,2015,0,0,1,0,0
265,29,SouthAfrica,Mohali,05-Nov-15,Test,254,10671,2015,0,0,1,0,0
267,22,SouthAfrica,Nagpur,25-Nov-15,Test,255,10693,2015,0,0,1,0,0
268,16,SouthAfrica,Nagpur,25-Nov-15,Test,256,10709,2015,0,0,1,0,0
269,44,SouthAfrica,Delhi,03-Dec-15,Test,257,10753,2015,0,0,1,0,0
270,88,SouthAfrica,Delhi,03-Dec-15,Test,258,10841,2015,0,0,1,0,1
271,91,Australia,Perth,12-Jan-16,ODI,259,10932,2016,1,0,0,0,1
272,59,Australia,Brisbane,15-Jan-16,ODI,260,10991,2016,1,0,0,0,1
273,117,Australia,Melbourne,17-Jan-16,ODI,261,11108,2016,1,0,0,1,0
274,106,Australia,Canberra,20-Jan-16,ODI,262,11214,2016,1,0,0,1,0
275,8,Australia,Sydney,23-Jan-16,ODI,263,11222,2016,1,0,0,0,0
276,90,Australia,Adelaide,26-Jan-16,T20,264,11312,2016,0,1,0,0,1
277,59,Australia,Melbourne,29-Jan-16,T20,265,11371,2016,0,1,0,0,1
278,50,Australia,Sydney,31-Jan-16,T20,266,11421,2016,0,1,0,0,1
279,7,Bangladesh,Mirpur,24-Feb-16,T20,267,11428,2016,0,1,0,0,0
280,49,Pakistan,Mirpur,27-Feb-16,T20,268,11477,2016,0,1,0,0,0
281,56,SriLanka,Mirpur,01-Mar-16,T20,269,11533,2016,0,1,0,0,1
283,41,Bangladesh,Mirpur,06-Mar-16,T20,270,11574,2016,0,1,0,0,0
284,23,NewZealand,Nagpur,15-Mar-16,T20,271,11597,2016,0,1,0,0,0
285,55,Pakistan,Kolkata,19-Mar-16,T20,272,11652,2016,0,1,0,0,1
286,24,Bangladesh,Bengaluru,23-Mar-16,T20,273,11676,2016,0,1,0,0,0
287,82,Australia,Mohali,27-Mar-16,T20,274,11758,2016,0,1,0,0,1
288,89,WestIndies,Wankhede,31-Mar-16,T20,275,11847,2016,0,1,0,0,1
289,200,WestIndies,NorthSound,21-Jul-16,Test,276,12047,2016,0,0,1,1,0
290,44,WestIndies,Kingston,30-Jul-16,Test,277,12091,2016,0,0,1,0,0
291,3,WestIndies,GrosIslet,09-Aug-16,Test,278,12094,2016,0,0,1,0,0
292,4,WestIndies,GrosIslet,09-Aug-16,Test,279,12098,2016,0,0,1,0,0
294,16,WestIndies,Lauderhill,27-Aug-16,T20,280,12114,2016,0,1,0,0,0
296,9,NewZealand,Kanpur,22-Sep-16,Test,281,12123,2016,0,0,1,0,0
297,18,NewZealand,Kanpur,22-Sep-16,Test,282,12141,2016,0,0,1,0,0
298,9,NewZealand,Kolkata,30-Sep-16,Test,283,12150,2016,0,0,1,0,0
299,45,NewZealand,Kolkata,30-Sep-16,Test,284,12195,2016,0,0,1,0,0
300,211,NewZealand,Indore,08-Oct-16,Test,285,12406,2016,0,0,1,1,0
301,17,NewZealand,Indore,08-Oct-16,Test,286,12423,2016,0,0,1,0,0
302,85,NewZealand,Dharamsala,16-Oct-16,ODI,287,12508,2016,1,0,0,0,1
303,9,NewZealand,Delhi,20-Oct-16,ODI,288,12517,2016,1,0,0,0,0
304,154,NewZealand,Mohali,23-Oct-16,ODI,289,12671,2016,1,0,0,1,0
305,45,NewZealand,Ranchi,26-Oct-16,ODI,290,12716,2016,1,0,0,0,0
306,65,NewZealand,Visakhapatnam,29-Oct-16,ODI,291,12781,2016,1,0,0,0,1
307,40,England,Rajkot,09-Nov-16,Test,292,12821,2016,0,0,1,0,0
308,49,England,Rajkot,09-Nov-16,Test,293,12870,2016,0,0,1,0,0
309,167,England,Visakhapatnam,17-Nov-16,Test,294,13037,2016,0,0,1,1,0
310,81,England,Visakhapatnam,17-Nov-16,Test,295,13118,2016,0,0,1,0,1
311,62,England,Mohali,26-Nov-16,Test,296,13180,2016,0,0,1,0,1
312,6,England,Mohali,26-Nov-16,Test,297,13186,2016,0,0,1,0,0
313,235,England,Wankhede,08-Dec-16,Test,298,13421,2016,0,0,1,1,0
314,15,England,Chennai,16-Dec-16,Test,299,13436,2016,0,0,1,0,0
315,122,England,Pune,15-Jan-17,ODI,300,13558,2017,1,0,0,1,0
316,8,England,Cuttack,19-Jan-17,ODI,301,13566,2017,1,0,0,0,0
317,55,England,Kolkata,22-Jan-17,ODI,302,13621,2017,1,0,0,0,1
318,29,England,Kanpur,26-Jan-17,T20,303,13650,2017,0,1,0,0,0
319,21,England,Nagpur,29-Jan-17,T20,304,13671,2017,0,1,0,0,0
320,2,England,Bengaluru,01-Feb-17,T20,305,13673,2017,0,1,0,0,0
321,204,Bangladesh,Hyderabad(Deccan),09-Feb-17,Test,306,13877,2017,0,0,1,1,0
322,38,Bangladesh,Hyderabad(Deccan),09-Feb-17,Test,307,13915,2017,0,0,1,0,0
323,0,Australia,Pune,23-Feb-17,Test,308,13915,2017,0,0,1,0,0
324,13,Australia,Pune,23-Feb-17,Test,309,13928,2017,0,0,1,0,0
325,12,Australia,Bengaluru,04-Mar-17,Test,310,13940,2017,0,0,1,0,0
